address,detail_url,neighborhood
"2401-03 S Johnson St, New Orleans, LA 70125",https://www.zillow.com/homedetails/2401-03-S-Johnson-St-New-Orleans-LA-70125/2052924783_zpid/,broadmoor
"26 Versailles Blvd, New Orleans, LA 70125",https://www.zillow.com/homedetails/26-Versailles-Blvd-New-Orleans-LA-70125/73841310_zpid/,marlyville-fontainebleau
"7217-19 Pritchard Pl, New Orleans, LA 70125",https://www.zillow.com/homedetails/7217-19-Pritchard-Pl-New-Orleans-LA-70125/2065971476_zpid/,marlyville-fontainebleau
"4150 State Street Dr, New Orleans, LA 70125",https://www.zillow.com/homedetails/4150-State-Street-Dr-New-Orleans-LA-70125/73839038_zpid/,marlyville-fontainebleau
"2908 Audubon St, New Orleans, LA 70125",https://www.zillow.com/homedetails/2908-Audubon-St-New-Orleans-LA-70125/84479698_zpid/,marlyville-fontainebleau
"25 Versailles Blvd, New Orleans, LA 70125",https://www.zillow.com/homedetails/25-Versailles-Blvd-New-Orleans-LA-70125/73840544_zpid/,marlyville-fontainebleau
"6216-18 Fontainebleau Dr, New Orleans, LA 70125",https://www.zillow.com/homedetails/6216-18-Fontainebleau-Dr-New-Orleans-LA-70125/2065944787_zpid/,marlyville-fontainebleau
"2313 Burdette St, New Orleans, LA 70118",https://www.zillow.com/homedetails/2313-Burdette-St-New-Orleans-LA-70118/73845502_zpid/,marlyville-fontainebleau
"6215-17 York St, New Orleans, LA 70125",https://www.zillow.com/homedetails/6215-17-York-St-New-Orleans-LA-70125/2065978613_zpid/,marlyville-fontainebleau
"5417 S Tonti St, New Orleans, LA 70125",https://www.zillow.com/homedetails/5417-S-Tonti-St-New-Orleans-LA-70125/84477462_zpid/,marlyville-fontainebleau
"1401-03 S Dupre St, New Orleans, LA 70125",https://www.zillow.com/homedetails/1401-03-S-Dupre-St-New-Orleans-LA-70125/353423071_zpid/,gert-town
"1015 S Telemachus St, New Orleans, LA 70125",https://www.zillow.com/homedetails/1015-S-Telemachus-St-New-Orleans-LA-70125/73773626_zpid/,gert-town
"3311 Fern St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3311-Fern-St-New-Orleans-LA-70125/73847803_zpid/,gert-town
"1117-19 S Dupre St, New Orleans, LA 70125",https://www.zillow.com/homedetails/1117-19-S-Dupre-St-New-Orleans-LA-70125/352354241_zpid/,gert-town
"3219 Dante St, New Orleans, LA 70118",https://www.zillow.com/homedetails/3219-Dante-St-New-Orleans-LA-70118/73850053_zpid/,gert-town
"4827 Washington Ave, New Orleans, LA 70125",https://www.zillow.com/homedetails/4827-Washington-Ave-New-Orleans-LA-70125/73773623_zpid/,gert-town
"7929-35 Olive St, New Orleans, LA 70125",https://www.zillow.com/homedetails/7929-35-Olive-St-New-Orleans-LA-70125/2065973766_zpid/,gert-town
"4228 Erato St, New Orleans, LA 70125",https://www.zillow.com/homedetails/4228-Erato-St-New-Orleans-LA-70125/84440755_zpid/,gert-town
"4100 Thalia St, New Orleans, LA 70125",https://www.zillow.com/homedetails/4100-Thalia-St-New-Orleans-LA-70125/2126666597_zpid/,gert-town
"2906 Palmyra St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2906-Palmyra-St-New-Orleans-LA-70119/73773689_zpid/,mid-city
"2225-2227 Iberville St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2225-2227-Iberville-St-New-Orleans-LA-70119/346986310_zpid/,mid-city
"3840-3842 Orleans, New Orleans, LA 70119",https://www.zillow.com/homedetails/3840-3842-Orleans-New-Orleans-LA-70119/2083502731_zpid/,mid-city
"212 David St, New Orleans, LA 70119",https://www.zillow.com/homedetails/212-David-St-New-Orleans-LA-70119/73774844_zpid/,mid-city
"200 N Norman C Francis Pkwy, New Orleans, LA 70119",https://www.zillow.com/homedetails/200-N-Norman-C-Francis-Pkwy-New-Orleans-LA-70119/2057700716_zpid/,mid-city
"3805-07 Ulloa St, New Orleans, LA 70119",https://www.zillow.com/homedetails/3805-07-Ulloa-St-New-Orleans-LA-70119/2059787415_zpid/,mid-city
"4701 Iberville St, New Orleans, LA 70119",https://www.zillow.com/homedetails/4701-Iberville-St-New-Orleans-LA-70119/73774703_zpid/,mid-city
"2755 Palmyra St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2755-Palmyra-St-New-Orleans-LA-70119/73773873_zpid/,mid-city
"516-18 S Hennessey St, New Orleans, LA 70119",https://www.zillow.com/homedetails/516-18-S-Hennessey-St-New-Orleans-LA-70119/2078819166_zpid/,mid-city
"1844 Pauline St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1844-Pauline-St-New-Orleans-LA-70117/73802887_zpid/,st-claude
"2662-64 N Galvez St, New Orleans, LA 70117",https://www.zillow.com/homedetails/2662-64-N-Galvez-St-New-Orleans-LA-70117/2062741373_zpid/,st-claude
"1735 Feliciana St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1735-Feliciana-St-New-Orleans-LA-70117/73810446_zpid/,st-claude
"3140 N Robertson St, New Orleans, LA 70117",https://www.zillow.com/homedetails/3140-N-Robertson-St-New-Orleans-LA-70117/73800202_zpid/,st-claude
"1235 Alvar St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1235-Alvar-St-New-Orleans-LA-70117/149020326_zpid/,st-claude
"1428-30 Pauline St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1428-30-Pauline-St-New-Orleans-LA-70117/2065951565_zpid/,st-claude
"3129-31 N Claiborne Ave, New Orleans, LA 70117",https://www.zillow.com/homedetails/3129-31-N-Claiborne-Ave-New-Orleans-LA-70117/2065976377_zpid/,st-claude
"2538-40 Congress St, New Orleans, LA 70117",https://www.zillow.com/homedetails/2538-40-Congress-St-New-Orleans-LA-70117/2056461176_zpid/,st-claude
"1405-07 Bartholomew St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1405-07-Bartholomew-St-New-Orleans-LA-70117/402600173_zpid/,st-claude
"2 Canal St #3002, New Orleans, LA 70130",https://www.zillow.com/homedetails/2-Canal-St-3002-New-Orleans-LA-70130/2055200782_zpid/,central-business-district
"700 Commerce St Apt 308, New Orleans, LA 70130",https://www.zillow.com/homedetails/700-Commerce-St-APT-308-New-Orleans-LA-70130/84441034_zpid/,central-business-district
"700 Commerce St Apt 307, New Orleans, LA 70130",https://www.zillow.com/homedetails/700-Commerce-St-APT-307-New-Orleans-LA-70130/84441033_zpid/,central-business-district
"1201 Canal St Apt 354, New Orleans, LA 70112",https://www.zillow.com/homedetails/1201-Canal-St-APT-354-New-Orleans-LA-70112/110378059_zpid/,central-business-district
"401 Tchoupitoulas St #c1, New Orleans, LA 70130",https://www.zillow.com/homedetails/401-Tchoupitoulas-St-C1-New-Orleans-LA-70130/350263275_zpid/,central-business-district
"700 Commerce St Apt 212, New Orleans, LA 70130",https://www.zillow.com/homedetails/700-Commerce-St-APT-212-New-Orleans-LA-70130/148958532_zpid/,central-business-district
"731 Saint Charles Ave Unit 304, New Orleans, LA 70130",https://www.zillow.com/homedetails/731-Saint-Charles-Ave-UNIT-304-New-Orleans-LA-70130/352016692_zpid/,central-business-district
"2 Canal St #2308, New Orleans, LA 70130",https://www.zillow.com/homedetails/2-Canal-St-2308-New-Orleans-LA-70130/347848445_zpid/,central-business-district
"201 S Villere St, New Orleans, LA 70112",https://www.zillow.com/homedetails/201-S-Villere-St-New-Orleans-LA-70112/247553168_zpid/,central-business-district
"929 Bienville St, New Orleans, LA 70112",https://www.zillow.com/homedetails/929-Bienville-St-New-Orleans-LA-70112/2061290567_zpid/,french-quarter
"620 Decatur St Apt P, New Orleans, LA 70130",https://www.zillow.com/homedetails/620-Decatur-St-APT-P-New-Orleans-LA-70130/126451995_zpid/,french-quarter
