address,detail_url,neighborhood,latitude,longitude
"1401-03 S Dupre St, New Orleans, LA 70125",https://www.zillow.com/homedetails/1401-03-S-Dupre-St-New-Orleans-LA-70125/353423071_zpid/,gert-town,29.95401609999999,-90.1006635
"1015 S Telemachus St, New Orleans, LA 70125",https://www.zillow.com/homedetails/1015-S-Telemachus-St-New-Orleans-LA-70125/73773626_zpid/,gert-town,29.96219979999999,-90.1054027
"3311 Fern St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3311-Fern-St-New-Orleans-LA-70125/73847803_zpid/,gert-town,29.96109929999999,-90.11162209999999
"1117-19 S Dupre St, New Orleans, LA 70125",https://www.zillow.com/homedetails/1117-19-S-Dupre-St-New-Orleans-LA-70125/352354241_zpid/,gert-town,29.9561752,-90.09920749999999
"3219 Dante St, New Orleans, LA 70118",https://www.zillow.com/homedetails/3219-Dante-St-New-Orleans-LA-70118/73850053_zpid/,gert-town,29.9633211,-90.1156402
"4827 Washington Ave, New Orleans, LA 70125",https://www.zillow.com/homedetails/4827-Washington-Ave-New-Orleans-LA-70125/73773623_zpid/,gert-town,29.9617285,-90.1053592
"7929-35 Olive St, New Orleans, LA 70125",https://www.zillow.com/homedetails/7929-35-Olive-St-New-Orleans-LA-70125/2065973766_zpid/,gert-town,29.9622611,-90.1115434
"4228 Erato St, New Orleans, LA 70125",https://www.zillow.com/homedetails/4228-Erato-St-New-Orleans-LA-70125/84440755_zpid/,gert-town,29.95549,-90.1015238
"4100 Thalia St, New Orleans, LA 70125",https://www.zillow.com/homedetails/4100-Thalia-St-New-Orleans-LA-70125/2126666597_zpid/,gert-town,29.953595,-90.099724
"2906 Palmyra St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2906-Palmyra-St-New-Orleans-LA-70119/73773689_zpid/,mid-city,29.9653549,-90.09152879999999
"2225-2227 Iberville St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2225-2227-Iberville-St-New-Orleans-LA-70119/346986310_zpid/,mid-city,29.9636369,-90.08191080000002
"3840-3842 Orleans, New Orleans, LA 70119",https://www.zillow.com/homedetails/3840-3842-Orleans-New-Orleans-LA-70119/2083502731_zpid/,mid-city,29.97797199999999,-90.09408069999999
"212 David St, New Orleans, LA 70119",https://www.zillow.com/homedetails/212-David-St-New-Orleans-LA-70119/73774844_zpid/,mid-city,29.9761976,-90.1001364
"200 N Norman C Francis Pkwy, New Orleans, LA 70119",https://www.zillow.com/homedetails/200-N-Norman-C-Francis-Pkwy-New-Orleans-LA-70119/2057700716_zpid/,mid-city,29.9708316,-90.0927451
"3805-07 Ulloa St, New Orleans, LA 70119",https://www.zillow.com/homedetails/3805-07-Ulloa-St-New-Orleans-LA-70119/2059787415_zpid/,mid-city,29.9677091,-90.1022416
"4701 Iberville St, New Orleans, LA 70119",https://www.zillow.com/homedetails/4701-Iberville-St-New-Orleans-LA-70119/73774703_zpid/,mid-city,29.9799426,-90.1060122
"2755 Palmyra St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2755-Palmyra-St-New-Orleans-LA-70119/73773873_zpid/,mid-city,29.9647628,-90.0899881
"516-18 S Hennessey St, New Orleans, LA 70119",https://www.zillow.com/homedetails/516-18-S-Hennessey-St-New-Orleans-LA-70119/2078819166_zpid/,mid-city,29.9722402,-90.1063819
"1844 Pauline St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1844-Pauline-St-New-Orleans-LA-70117/73802887_zpid/,st-claude,29.9741165,-90.0350777
"2662-64 N Galvez St, New Orleans, LA 70117",https://www.zillow.com/homedetails/2662-64-N-Galvez-St-New-Orleans-LA-70117/2062741373_zpid/,st-claude,29.978875,-90.04626420000001
"1735 Feliciana St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1735-Feliciana-St-New-Orleans-LA-70117/73810446_zpid/,st-claude,29.9744854,-90.04282839999999
"3140 N Robertson St, New Orleans, LA 70117",https://www.zillow.com/homedetails/3140-N-Robertson-St-New-Orleans-LA-70117/73800202_zpid/,st-claude,29.9712207,-90.04207679999999
"1235 Alvar St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1235-Alvar-St-New-Orleans-LA-70117/149020326_zpid/,st-claude,29.9675582,-90.0355755
"1428-30 Pauline St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1428-30-Pauline-St-New-Orleans-LA-70117/2065951565_zpid/,st-claude,29.9697822,-90.0363906
"3129-31 N Claiborne Ave, New Orleans, LA 70117",https://www.zillow.com/homedetails/3129-31-N-Claiborne-Ave-New-Orleans-LA-70117/2065976377_zpid/,st-claude,29.9727383,-90.0419715
"2538-40 Congress St, New Orleans, LA 70117",https://www.zillow.com/homedetails/2538-40-Congress-St-New-Orleans-LA-70117/2056461176_zpid/,st-claude,29.9817386,-90.0344677
"1405-07 Bartholomew St, New Orleans, LA 70117",https://www.zillow.com/homedetails/1405-07-Bartholomew-St-New-Orleans-LA-70117/402600173_zpid/,st-claude,29.9688137,-90.0341466
"2 Canal St #3002, New Orleans, LA 70130",https://www.zillow.com/homedetails/2-Canal-St-3002-New-Orleans-LA-70130/2055200782_zpid/,central-business-district,29.94905129999999,-90.0638373
"700 Commerce St Apt 308, New Orleans, LA 70130",https://www.zillow.com/homedetails/700-Commerce-St-APT-308-New-Orleans-LA-70130/84441034_zpid/,central-business-district,29.9462699,-90.06641169999999
"700 Commerce St Apt 307, New Orleans, LA 70130",https://www.zillow.com/homedetails/700-Commerce-St-APT-307-New-Orleans-LA-70130/84441033_zpid/,central-business-district,29.9462699,-90.06641169999999
"1201 Canal St Apt 354, New Orleans, LA 70112",https://www.zillow.com/homedetails/1201-Canal-St-APT-354-New-Orleans-LA-70112/110378059_zpid/,central-business-district,29.9564531,-90.0734256
"401 Tchoupitoulas St #c1, New Orleans, LA 70130",https://www.zillow.com/homedetails/401-Tchoupitoulas-St-C1-New-Orleans-LA-70130/350263275_zpid/,central-business-district,29.9493053,-90.0671404
"700 Commerce St Apt 212, New Orleans, LA 70130",https://www.zillow.com/homedetails/700-Commerce-St-APT-212-New-Orleans-LA-70130/148958532_zpid/,central-business-district,29.9462699,-90.06641169999999
"731 Saint Charles Ave Unit 304, New Orleans, LA 70130",https://www.zillow.com/homedetails/731-Saint-Charles-Ave-UNIT-304-New-Orleans-LA-70130/352016692_zpid/,central-business-district,29.9467053,-90.0718093
"2 Canal St #2308, New Orleans, LA 70130",https://www.zillow.com/homedetails/2-Canal-St-2308-New-Orleans-LA-70130/347848445_zpid/,central-business-district,29.9490612,-90.06355719999999
"201 S Villere St, New Orleans, LA 70112",https://www.zillow.com/homedetails/201-S-Villere-St-New-Orleans-LA-70112/247553168_zpid/,central-business-district,29.9570245,-90.0771769
"929 Bienville St, New Orleans, LA 70112",https://www.zillow.com/homedetails/929-Bienville-St-New-Orleans-LA-70112/2061290567_zpid/,french-quarter,29.9566996,-90.0697946
"620 Decatur St Apt P, New Orleans, LA 70130",https://www.zillow.com/homedetails/620-Decatur-St-APT-P-New-Orleans-LA-70130/126451995_zpid/,french-quarter,29.9564675,-90.0627435
"930 Chartres St, New Orleans, LA 70116",https://www.zillow.com/homedetails/930-Chartres-St-New-Orleans-LA-70116/342017902_zpid/,french-quarter,29.95958259999999,-90.0618073
"1020 Esplanade Ave Apt 213, New Orleans, LA 70116",https://www.zillow.com/homedetails/1020-Esplanade-Ave-APT-213-New-Orleans-LA-70116/148975061_zpid/,french-quarter,29.965214,-90.06293439999999
"1921 Gov Nicholls St, New Orleans, LA 70116",https://www.zillow.com/homedetails/1921-Gov-Nicholls-St-New-Orleans-LA-70116/84447965_zpid/,french-quarter,29.9696917,-90.07202679999999
"920 Saint Louis St Apt 4, New Orleans, LA 70112",https://www.zillow.com/homedetails/920-Saint-Louis-St-APT-4-New-Orleans-LA-70112/110378029_zpid/,french-quarter,29.957625,-90.0682085
"1125 Royal St Apt 3, New Orleans, LA 70116",https://www.zillow.com/homedetails/1125-Royal-St-APT-3-New-Orleans-LA-70116/73780143_zpid/,french-quarter,29.961505,-90.06177389999999
"539 Toulouse St Apt D, New Orleans, LA 70130",https://www.zillow.com/homedetails/539-Toulouse-St-APT-D-New-Orleans-LA-70130/148969933_zpid/,french-quarter,29.9566096,-90.06426479999999
"716 Dumaine St, New Orleans, LA 70116",https://www.zillow.com/homedetails/716-Dumaine-St-New-Orleans-LA-70116/73777610_zpid/,french-quarter,29.959708,-90.0639202
"1224 Saint Charles Ave Apt 214, New Orleans, LA 70130",https://www.zillow.com/homedetails/1224-Saint-Charles-Ave-APT-214-New-Orleans-LA-70130/148958936_zpid/,central-city,29.9409817,-90.07375329999999
"1720 Philip St, New Orleans, LA 70113",https://www.zillow.com/homedetails/1720-Philip-St-New-Orleans-LA-70113/73821693_zpid/,central-city,29.9343924,-90.08322509999999
"2102 Josephine St, New Orleans, LA 70113",https://www.zillow.com/homedetails/2102-Josephine-St-New-Orleans-LA-70113/149047521_zpid/,central-city,29.9389505,-90.0834556
"2113-15 S Liberty St, New Orleans, LA 70113",https://www.zillow.com/homedetails/2113-15-S-Liberty-St-New-Orleans-LA-70113/2065971882_zpid/,central-city,29.9404199,-90.0850286
"2823 2nd St, New Orleans, LA 70113",https://www.zillow.com/homedetails/2823-2nd-St-New-Orleans-LA-70113/247553694_zpid/,central-city,29.9426951,-90.0910461
"1404 Prytania St #f2, New Orleans, LA 70130",https://www.zillow.com/homedetails/1404-Prytania-St-F2-New-Orleans-LA-70130/84439423_zpid/,central-city,29.9389349,-90.07347779999999
"1525 Clio St Apt 5, New Orleans, LA 70130",https://www.zillow.com/homedetails/1525-Clio-St-APT-5-New-Orleans-LA-70130/84440316_zpid/,central-city,29.940853,-90.07270470000002
"2320 2nd St, New Orleans, LA 70113",https://www.zillow.com/homedetails/2320-2nd-St-New-Orleans-LA-70113/73821867_zpid/,central-city,29.93841549999999,-90.0882987
"2608 Magnolia St, New Orleans, LA 70113",https://www.zillow.com/homedetails/2608-Magnolia-St-New-Orleans-LA-70113/114010815_zpid/,central-city,29.9406371,-90.0912183
"4601 Murano Rd, New Orleans, LA 70129",https://www.zillow.com/homedetails/4601-Murano-Rd-New-Orleans-LA-70129/149039361_zpid/,lake-catherine,30.0696689,-89.8136399
"3262 Ridgeway Blvd, New Orleans, LA 70129",https://www.zillow.com/homedetails/3262-Ridgeway-Blvd-New-Orleans-LA-70129/149037664_zpid/,lake-catherine,30.13712,-89.8655204
"3030 Ridgeway Blvd, New Orleans, LA 70129",https://www.zillow.com/homedetails/3030-Ridgeway-Blvd-New-Orleans-LA-70129/149037687_zpid/,lake-catherine,30.1324784,-89.86702849999999
